benchmark,allocator,pinning,source,instances,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,tcmalloc,numactl,torch,14,11,1,1,16,7.224222864704737
resnet_manual_none,tcmalloc,numactl,torch,14,4,1,1,16,7.2209838990782504
resnet_manual_none,tcmalloc,numactl,torch,14,12,1,1,16,7.201981551755658
resnet_manual_none,tcmalloc,numactl,torch,14,10,1,1,16,7.185333784928022
resnet_manual_none,tcmalloc,numactl,torch,14,5,1,1,16,7.196957504496364
resnet_manual_none,tcmalloc,numactl,torch,14,9,1,1,16,7.195771620878214
resnet_manual_none,tcmalloc,numactl,torch,14,1,1,1,16,7.189601319951472
resnet_manual_none,tcmalloc,numactl,torch,14,2,1,1,16,7.190066370915888
resnet_manual_none,tcmalloc,numactl,torch,16,0,1,1,16,9.937851862004347
resnet_manual_none,tcmalloc,numactl,torch,16,3,1,1,16,6.7831437228731915
resnet_manual_none,tcmalloc,numactl,torch,16,15,1,1,16,6.7776749545192345
resnet_manual_none,tcmalloc,numactl,torch,16,4,1,1,16,6.781155773767701
resnet_manual_none,tcmalloc,numactl,torch,16,6,1,1,16,6.7839734645232035
resnet_manual_none,tcmalloc,numactl,torch,16,7,1,1,16,6.783405994007952
resnet_manual_none,tcmalloc,numactl,torch,16,11,1,1,16,6.777383570450499
resnet_manual_none,tcmalloc,numactl,torch,16,8,1,1,16,6.755623822177168
resnet_manual_none,tcmalloc,numactl,torch,16,14,1,1,16,6.738150708336166
resnet_manual_none,tcmalloc,numactl,torch,16,1,1,1,16,6.72903032503617
resnet_manual_none,tcmalloc,numactl,torch,16,9,1,1,16,6.728701882788261
resnet_manual_none,tcmalloc,numactl,torch,16,10,1,1,16,6.730587272577325
resnet_manual_none,tcmalloc,numactl,torch,16,2,1,1,16,6.729353362020662
resnet_manual_none,tcmalloc,numactl,torch,16,5,1,1,16,6.7219858893101865
resnet_manual_none,tcmalloc,numactl,torch,16,16,1,1,16,6.810622513408841
resnet_manual_none,tcmalloc,numactl,torch,16,12,1,1,16,6.769276037185531
resnet_manual_none,tcmalloc,numactl,torch,16,13,1,1,16,6.768655977108922
