benchmark,allocator,pinning,source,instances,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_none,default,numactl,torch,8,8,1,1,16,1705.354008008726,1914.8032306239475,2718.208185979165,0.0
resnet_manual_none,default,numactl,torch,8,7,1,1,16,1699.1819640388712,1940.5010728968773,2746.9645870151,0.0
resnet_manual_none,default,numactl,torch,8,3,1,1,16,1714.3893239554018,2299.6497586078476,2775.33549699001,0.0
resnet_manual_none,default,numactl,torch,8,1,1,1,16,1673.0534449452534,2343.9582884463016,2780.523727997206,0.0
resnet_manual_none,default,numactl,torch,8,4,1,1,16,1741.7140089673921,2521.031385761453,2730.905640986748,0.0
resnet_manual_none,default,numactl,torch,8,6,1,1,16,2043.5354340588674,2687.9916996054817,2767.5930550321937,0.0
resnet_manual_none,default,numactl,torch,8,5,1,1,16,1808.670190977864,2704.0623186773155,2797.2919440362602,0.0
resnet_manual_none,default,numactl,torch,10,0,1,1,16,1626.545562990941,2053.5174718883354,2642.956865951419,0.0
resnet_manual_none,default,numactl,torch,10,8,1,1,16,1825.5132889607921,1934.8436550528277,2813.120478997007,0.0
resnet_manual_none,default,numactl,torch,10,7,1,1,16,1792.329924996011,2019.6161130489781,2864.5640480099246,0.0
resnet_manual_none,default,numactl,torch,10,4,1,1,16,1711.5402669878677,2139.5667023514397,2806.688445038162,0.0
resnet_manual_none,default,numactl,torch,10,2,1,1,16,1757.7099779155105,2128.7031444290187,2880.1725499797612,0.0
resnet_manual_none,default,numactl,torch,10,1,1,1,16,1760.8250960474834,2132.19997128821,2889.407375943847,0.0
resnet_manual_none,default,numactl,torch,10,3,1,1,16,1785.5554020497948,2210.4680929810274,2898.7704599276185,0.0
resnet_manual_none,default,numactl,torch,10,10,1,1,16,1738.6408690363169,2277.7205612289254,2864.2660019686446,0.0
resnet_manual_none,default,numactl,torch,10,6,1,1,16,1721.3846939848736,2508.2735621358734,2873.454049928114,0.0
resnet_manual_none,default,numactl,torch,10,5,1,1,16,1729.3498869985342,2523.1707018928137,2889.1903719631955,0.0
resnet_manual_none,default,numactl,torch,10,9,1,1,16,1886.7645970312878,2671.416026116349,2905.0005560275167,0.0
resnet_manual_none,default,numactl,torch,12,0,1,1,16,1621.1843509227037,2318.089368514484,2643.5184680158272,0.0
resnet_manual_none,default,numactl,torch,12,3,1,1,16,1872.4204630125314,2049.7689144092146,2955.411374103278,0.0
resnet_manual_none,default,numactl,torch,12,1,1,1,16,1903.7681790068746,2054.440168638248,2932.347630034201,0.0
resnet_manual_none,default,numactl,torch,12,7,1,1,16,1812.0913709281012,2077.451266403077,2923.8259569974616,0.0
resnet_manual_none,default,numactl,torch,12,5,1,1,16,1823.87141790241,2128.291624437552,2915.8647540025413,0.0
resnet_manual_none,default,numactl,torch,12,10,1,1,16,1871.5461560059339,2131.583240191685,2856.4329519867897,0.0
resnet_manual_none,default,numactl,torch,12,4,1,1,16,1714.7231829585508,2191.593945675995,2998.4552459791303,0.0
resnet_manual_none,default,numactl,torch,12,12,1,1,16,1743.0341449799016,2218.9090483263135,2894.497393979691,0.0
resnet_manual_none,default,numactl,torch,12,9,1,1,16,1765.6345349969342,2206.282908816356,2952.755421050824,0.0
resnet_manual_none,default,numactl,torch,12,6,1,1,16,1874.4251260068268,2433.176397163188,2972.9388690320775,0.0
resnet_manual_none,default,numactl,torch,12,8,1,1,16,1797.0503030810505,2452.145974439336,2965.24035197217,0.0
resnet_manual_none,default,numactl,torch,12,11,1,1,16,1882.045487058349,2516.6040879511274,2995.996844023466,0.0
resnet_manual_none,default,numactl,torch,12,2,1,1,16,1915.6802740180865,2742.1971850597765,3031.911670928821,0.0
resnet_manual_none,default,numactl,torch,14,0,1,1,16,1618.0769769707695,1844.334934632061,2594.75361101795,0.0
resnet_manual_none,default,numactl,torch,14,1,1,1,16,2014.357056003064,2189.949363480555,3079.1206350550056,0.0
resnet_manual_none,default,numactl,torch,14,13,1,1,16,1994.798256084323,2169.9935103964526,3018.2514069601893,0.0
resnet_manual_none,default,numactl,torch,14,2,1,1,16,1884.726418997161,2247.049455990782,3065.6035050051287,0.0
resnet_manual_none,default,numactl,torch,14,8,1,1,16,1861.70917598065,2233.5775365284644,3073.9644300192595,0.0
resnet_manual_none,default,numactl,torch,14,9,1,1,16,1834.3146879924461,2263.6116182792466,3147.76100195013,0.0
