benchmark,topology,pinning,source,allocator,instances,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,1,1,1,16,1392.8278840030544,1406.9240153484861,1424.0788309834898,90.3023269195749
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,16,1,1,16,1393.271951994393,1405.3572592686396,1424.79075898882,90.40300005360713
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,6,1,1,16,1389.6991499932483,1403.3584805994178,1418.9104510005563,90.53175944804471
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,3,1,1,16,1393.9345119870268,1405.9272092400352,1423.2509290159214,90.36635150810919
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,7,1,1,16,1392.0107729791198,1404.0063213813119,1417.0057630108204,90.48998601374181
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,15,1,1,16,1389.8296789848246,1407.4592590800603,1422.5294269854203,90.26798578030677
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,5,1,1,16,1391.4034629997332,1405.2338772799703,1417.415642994456,90.41093759490087
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,9,1,1,16,1395.7651420205366,1406.4680198999122,1417.3696860088967,90.33160412281616
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,13,1,1,16,1387.425205000909,1406.6637625102885,1421.9445070193615,90.3190341366818
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,11,1,1,16,1388.6402510106564,1406.1632128510973,1426.2022220063955,90.35118485812183
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,14,1,1,16,1390.3455669933464,1407.2150125197368,1425.66947999876,90.28365335408763
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,4,1,1,16,1392.2604269755539,1407.1325677604182,1422.4649770185351,90.28894312865594
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,8,1,1,16,1397.6844659773633,1409.363223449327,1422.6530479791109,90.14603919779944
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,12,1,1,16,1394.4202300044708,1408.4744575998047,1425.3689039906021,90.20292253045514
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,10,1,1,16,1392.5364919996355,1407.3446535496623,1420.091695006704,90.2753366522927
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,2,1,1,16,1396.2791630183347,1411.0477279900806,1422.1444189897738,90.03842312688457
