benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,1,1,10,8,119.41914612206898
resnet_manual_script,sequential,numactl,1,1,11,8,128.12243274584978
resnet_manual_script,sequential,numactl,1,1,12,8,136.37540493627043
resnet_manual_script,sequential,numactl,1,1,13,8,136.31228017604928
resnet_manual_script,sequential,numactl,1,1,14,8,146.6124493910538
resnet_manual_script,sequential,numactl,1,1,15,8,153.88308862626005
resnet_manual_script,sequential,numactl,1,1,16,8,163.59938924877588
resnet_manual_script,sequential,numactl,1,1,17,8,168.91536360902077
resnet_manual_script,sequential,numactl,1,1,18,8,176.3171964720748
resnet_manual_script,sequential,numactl,1,1,19,8,173.87463001079468
resnet_manual_script,sequential,numactl,1,1,20,8,160.10010624815996
resnet_manual_script,sequential,numactl,1,1,21,8,185.21256869944403
resnet_manual_script,sequential,numactl,1,1,22,8,171.61007218931945
resnet_manual_script,sequential,numactl,1,1,23,8,197.93510589658112
resnet_manual_script,sequential,numactl,1,1,24,8,201.87780882148894
resnet_manual_script,sequential,numactl,1,1,25,8,179.44933387925118
resnet_manual_script,sequential,numactl,1,1,26,8,211.77233265639862
resnet_manual_script,sequential,numactl,1,1,27,8,209.2567016055457
resnet_manual_script,sequential,numactl,1,1,28,8,207.35222437809992
resnet_manual_script,sequential,numactl,1,1,29,8,206.7970673966905
resnet_manual_script,sequential,numactl,1,1,30,8,138.61062487026535
resnet_manual_script,sequential,numactl,1,1,31,8,23.117687182106497
resnet_manual_script,sequential,numactl,1,1,32,8,223.08151199465547
resnet_manual_script,sequential,numactl,1,1,33,8,221.07772454823908
resnet_manual_script,sequential,numactl,1,1,34,8,201.4511680803176
resnet_manual_script,sequential,numactl,1,1,35,8,196.09960548906034
resnet_manual_script,sequential,numactl,1,1,36,8,150.4484519987294
resnet_manual_script,sequential,numactl,1,1,1,16,11.980616658352758
resnet_manual_script,sequential,numactl,1,1,2,16,22.352504101188924
resnet_manual_script,sequential,numactl,1,1,3,16,34.10846961392157
resnet_manual_script,sequential,numactl,1,1,4,16,45.39979846957397
resnet_manual_script,sequential,numactl,1,1,5,16,54.86882360506887
resnet_manual_script,sequential,numactl,1,1,6,16,63.542097657879815
resnet_manual_script,sequential,numactl,1,1,7,16,67.50326740777095
resnet_manual_script,sequential,numactl,1,1,8,16,84.3825404410771
resnet_manual_script,sequential,numactl,1,1,9,16,91.68959815893776
resnet_manual_script,sequential,numactl,1,1,10,16,99.41479421177533
resnet_manual_script,sequential,numactl,1,1,11,16,106.61855087495064
resnet_manual_script,sequential,numactl,1,1,12,16,114.54735222972673
resnet_manual_script,sequential,numactl,1,1,13,16,114.2198627832699
resnet_manual_script,sequential,numactl,1,1,14,16,113.12068920372157
resnet_manual_script,sequential,numactl,1,1,15,16,121.60941388953823
resnet_manual_script,sequential,numactl,1,1,16,16,133.85324911630408
resnet_manual_script,sequential,numactl,1,1,17,16,127.15458146818914
