benchmark,topology,pinning,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_none,sequential,numactl,default,1,1,16,256,5878.014711954165,5926.106948403176,5939.233863027766,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,512,96833.42010399792,96875.82194564224,97024.27614899352,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,512,51550.70388299646,51599.44851423148,51703.55537900468,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,512,35691.71754398849,35721.36789470271,35775.28331702342,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,512,27887.316790001933,27915.330648532836,27973.10240799561,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,512,23438.739712990355,23465.45081941993,23518.415732018184,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,512,20680.35358999623,20699.349505244172,20735.274688049685,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,512,18428.30726999091,18439.98148149927,18454.0395620279,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,512,16430.091721005738,16443.045551038813,16471.58611298073,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,512,15590.189397044014,15608.580301750917,15625.072583032306,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,512,14575.451286975294,14585.825326738995,14600.292304996401,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,512,13904.538118978962,13917.582030559424,13929.70365198562,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,512,12990.285701991525,12998.093721963232,13009.526811016258,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,512,12787.549918983132,12797.424549829448,12818.560121988412,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,512,12363.857046992052,12375.010085450485,12382.675850996748,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,512,11970.055644982494,11979.992913858732,11993.251128005795,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,512,11674.384182028007,11683.8143278606,11704.712508013472,0.0
resnet_manual_none,sequential,numactl,default,1,1,1,1024,196563.84213001002,196628.90694064728,196771.53043897124,0.0
resnet_manual_none,sequential,numactl,default,1,1,2,1024,104328.18342698738,104361.4699824882,104430.20339100622,0.0
resnet_manual_none,sequential,numactl,default,1,1,3,1024,72284.83871300705,72344.51232441294,72418.35550399264,0.0
resnet_manual_none,sequential,numactl,default,1,1,4,1024,56365.617159055546,56384.52885775885,56420.04972003633,0.0
resnet_manual_none,sequential,numactl,default,1,1,5,1024,47610.888851981144,47641.35403335909,47673.967409995385,0.0
resnet_manual_none,sequential,numactl,default,1,1,6,1024,41295.30984500889,41312.71057334205,41329.68324003741,0.0
resnet_manual_none,sequential,numactl,default,1,1,7,1024,37244.40840998432,37289.93180038,37328.19766801549,0.0
resnet_manual_none,sequential,numactl,default,1,1,8,1024,33077.31111999601,33096.31899540953,33127.71122500999,0.0
resnet_manual_none,sequential,numactl,default,1,1,9,1024,31195.633771945722,31207.189785385854,31231.560503016226,0.0
resnet_manual_none,sequential,numactl,default,1,1,10,1024,29423.594883992337,29444.821162074804,29470.04740597913,0.0
resnet_manual_none,sequential,numactl,default,1,1,11,1024,27795.060622040182,27817.69597817678,27840.59213398723,0.0
resnet_manual_none,sequential,numactl,default,1,1,12,1024,26206.59862103639,26242.395178739098,26268.871231994126,0.0
resnet_manual_none,sequential,numactl,default,1,1,13,1024,25763.3365719812,25774.249743118417,25793.268061999697,0.0
resnet_manual_none,sequential,numactl,default,1,1,14,1024,25026.153023005463,25066.474142511142,25085.752445971593,0.0
resnet_manual_none,sequential,numactl,default,1,1,15,1024,24264.223773032427,24279.48846634128,24311.184711987153,0.0
resnet_manual_none,sequential,numactl,default,1,1,16,1024,23529.821563046426,23550.11822078086,23569.709237955976,0.0
resnet_manual_script,sequential,numactl,default,1,1,1,1,59.07979699986754,59.65817127995251,62.388975005887914,0.0
resnet_manual_script,sequential,numactl,default,1,1,2,1,31.36849099973915,32.031444660024135,42.682020997744985,0.0
resnet_manual_script,sequential,numactl,default,1,1,3,1,23.32686799491057,23.54607321016374,35.16698099701898,0.0
resnet_manual_script,sequential,numactl,default,1,1,4,1,18.190071001299657,18.578570680037956,28.187798998260405,0.0
resnet_manual_script,sequential,numactl,default,1,1,5,1,17.60208599444013,17.823275619812193,25.872870995954145,0.0
resnet_manual_script,sequential,numactl,default,1,1,6,1,15.082210993568879,15.253234249830712,22.825532003480475,0.0
resnet_manual_script,sequential,numactl,default,1,1,7,1,13.758638000581414,14.043860380334081,21.62225599749945,0.0
resnet_manual_script,sequential,numactl,default,1,1,8,1,12.15726100053871,12.444363700342365,20.824037994316313,0.0
resnet_manual_script,sequential,numactl,default,1,1,9,1,13.843215005181264,14.01615914022841,21.625692999805324,0.0
resnet_manual_script,sequential,numactl,default,1,1,10,1,12.919517001137137,13.102692689790274,19.830040997476317,0.0
resnet_manual_script,sequential,numactl,default,1,1,11,1,12.27929099695757,12.453896629667724,20.73305800149683,0.0
resnet_manual_script,sequential,numactl,default,1,1,12,1,11.590519003220834,11.773245139993378,16.567892002058215,0.0
resnet_manual_script,sequential,numactl,default,1,1,13,1,11.87316699360963,12.074154470610665,18.98172100482043,0.0
resnet_manual_script,sequential,numactl,default,1,1,14,1,11.451352002040949,11.644144329984556,19.364514999324456,0.0
resnet_manual_script,sequential,numactl,default,1,1,15,1,11.217424995265901,11.410004039935302,18.472830997779965,0.0
resnet_manual_script,sequential,numactl,default,1,1,16,1,10.674371995264664,10.887229439831572,18.370897996646818,0.0
resnet_manual_script,sequential,numactl,default,1,1,1,2,113.13331400015159,114.1221610505454,117.31867700291332,0.0
resnet_manual_script,sequential,numactl,default,1,1,2,2,58.15933000121731,59.28473383974051,74.88477900187718,0.0
resnet_manual_script,sequential,numactl,default,1,1,3,2,42.13801999867428,42.73104736028472,57.5055169974803,0.0
resnet_manual_script,sequential,numactl,default,1,1,4,2,31.94372700090753,32.69854930978909,42.2597790020518,0.0
resnet_manual_script,sequential,numactl,default,1,1,5,2,30.861908999213483,31.33689328009495,40.907105001679156,0.0
resnet_manual_script,sequential,numactl,default,1,1,6,2,26.305966996005736,26.556732680182904,35.46109700255329,0.0
resnet_manual_script,sequential,numactl,default,1,1,7,2,23.26679199904902,23.52481437053939,31.32307300256798,0.0
resnet_manual_script,sequential,numactl,default,1,1,8,2,20.631056002457626,21.09441547021561,32.79883800132666,0.0
resnet_manual_script,sequential,numactl,default,1,1,9,2,21.819887995661702,22.081319329881808,34.74281600210816,0.0
resnet_manual_script,sequential,numactl,default,1,1,10,2,20.661734997702297,20.92045944002166,33.973892001085915,0.0
resnet_manual_script,sequential,numactl,default,1,1,11,2,19.39380900148535,19.734796870325226,35.27340699656634,0.0
resnet_manual_script,sequential,numactl,default,1,1,12,2,17.598441998416092,17.877103359569446,29.113222000887617,0.0
resnet_manual_script,sequential,numactl,default,1,1,13,2,18.035843000689056,18.376743079643347,34.17425399675267,0.0
resnet_manual_script,sequential,numactl,default,1,1,14,2,17.366066997055896,17.803076000564033,34.254530000907835,0.0
resnet_manual_script,sequential,numactl,default,1,1,15,2,16.57590999820968,17.05604262970155,32.099408002977725,0.0
