benchmark,topology,pinning,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,default,1,1,6,256,56.58384292887965
resnet_manual_script,sequential,numactl,default,1,1,7,256,63.79107349860328
resnet_manual_script,sequential,numactl,default,1,1,8,256,73.43543410792358
resnet_manual_script,sequential,numactl,default,1,1,9,256,72.40351564039486
resnet_manual_script,sequential,numactl,default,1,1,10,256,78.47804556504484
resnet_manual_script,sequential,numactl,default,1,1,11,256,83.5150308721621
resnet_manual_script,sequential,numactl,default,1,1,12,256,90.79878541592039
resnet_manual_script,sequential,numactl,default,1,1,13,256,89.55449522517121
resnet_manual_script,sequential,numactl,default,1,1,14,256,94.6270823359679
resnet_manual_script,sequential,numactl,default,1,1,15,256,98.60503131371192
resnet_manual_script,sequential,numactl,default,1,1,16,256,103.34882961709249
resnet_manual_script,sequential,numactl,default,1,1,1,512,12.474364418326527
resnet_manual_script,sequential,numactl,default,1,1,2,512,24.700158509752157
resnet_manual_script,sequential,numactl,default,1,1,3,512,35.16284305110568
resnet_manual_script,sequential,numactl,default,1,1,4,512,45.419500276196274
resnet_manual_script,sequential,numactl,default,1,1,5,512,49.18464787942406
resnet_manual_script,sequential,numactl,default,1,1,6,512,56.492163499837005
resnet_manual_script,sequential,numactl,default,1,1,7,512,63.392366799239724
resnet_manual_script,sequential,numactl,default,1,1,8,512,72.87179440161896
resnet_manual_script,sequential,numactl,default,1,1,9,512,72.40372249261976
resnet_manual_script,sequential,numactl,default,1,1,10,512,78.04731994964433
resnet_manual_script,sequential,numactl,default,1,1,11,512,82.98161843859344
resnet_manual_script,sequential,numactl,default,1,1,12,512,90.25443613576824
resnet_manual_script,sequential,numactl,default,1,1,13,512,89.8372396352564
resnet_manual_script,sequential,numactl,default,1,1,14,512,93.61377911252357
resnet_manual_script,sequential,numactl,default,1,1,15,512,97.37670928110967
resnet_manual_script,sequential,numactl,default,1,1,16,512,102.55172190846406
resnet_manual_script,sequential,numactl,default,1,1,1,1024,12.439742774796667
resnet_manual_script,sequential,numactl,default,1,1,2,1024,24.44927447241684
resnet_manual_script,sequential,numactl,default,1,1,3,1024,34.83333792836175
resnet_manual_script,sequential,numactl,default,1,1,4,1024,45.30094255869812
resnet_manual_script,sequential,numactl,default,1,1,5,1024,49.05252013318401
resnet_manual_script,sequential,numactl,default,1,1,6,1024,56.58399395872859
resnet_manual_script,sequential,numactl,default,1,1,7,1024,63.209772516506746
resnet_manual_script,sequential,numactl,default,1,1,8,1024,72.72509837575696
resnet_manual_script,sequential,numactl,default,1,1,9,1024,72.0543953363103
resnet_manual_script,sequential,numactl,default,1,1,10,1024,77.96324265630975
resnet_manual_script,sequential,numactl,default,1,1,11,1024,82.92114267267725
resnet_manual_script,sequential,numactl,default,1,1,12,1024,89.83316046499355
resnet_manual_script,sequential,numactl,default,1,1,13,1024,89.41389976736804
resnet_manual_script,sequential,numactl,default,1,1,14,1024,93.81790345676299
resnet_manual_script,sequential,numactl,default,1,1,15,1024,97.75920988394736
resnet_manual_script,sequential,numactl,default,1,1,16,1024,102.8182970645584
resnet_manual_script,interleave,numactl,default,1,1,1,1,17.01917526462845
resnet_manual_script,interleave,numactl,default,1,1,2,1,26.953368058367555
resnet_manual_script,interleave,numactl,default,1,1,3,1,39.02934606507546
resnet_manual_script,interleave,numactl,default,1,1,4,1,49.95506834801328
resnet_manual_script,interleave,numactl,default,1,1,5,1,57.43377480347203
resnet_manual_script,interleave,numactl,default,1,1,6,1,62.640101518145066
resnet_manual_script,interleave,numactl,default,1,1,7,1,70.78614510115808
resnet_manual_script,interleave,numactl,default,1,1,8,1,75.64555459412543
resnet_manual_script,interleave,numactl,default,1,1,9,1,69.68049768446788
resnet_manual_script,interleave,numactl,default,1,1,10,1,70.74118220232535
resnet_manual_script,interleave,numactl,default,1,1,11,1,77.76609940352532
resnet_manual_script,interleave,numactl,default,1,1,12,1,78.4805390404528
resnet_manual_script,interleave,numactl,default,1,1,13,1,84.59860350535703
resnet_manual_script,interleave,numactl,default,1,1,14,1,89.04189557471128
resnet_manual_script,interleave,numactl,default,1,1,15,1,90.68819292210918
resnet_manual_script,interleave,numactl,default,1,1,16,1,90.29463298442869
resnet_manual_script,interleave,numactl,default,1,1,1,2,17.95827202502617
resnet_manual_script,interleave,numactl,default,1,1,2,2,32.86248340090377
resnet_manual_script,interleave,numactl,default,1,1,3,2,44.68021882119241
