benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,1,9,1,14.41081054508686,14.592961110174656,23.308122530579567,544.133221492904
resnet_manual_script,sequential,1,10,1,13.446487486362457,13.64731777459383,23.08444492518902,581.8370372222336
resnet_manual_script,sequential,1,11,1,12.553822249174118,12.780825737863779,21.440034732222557,621.2834055373952
resnet_manual_script,sequential,1,12,1,11.985652148723602,12.262279465794563,18.16689595580101,647.5561874242014
resnet_manual_script,sequential,1,13,1,12.371044605970383,12.570340931415558,18.588848412036896,631.6865217358757
resnet_manual_script,sequential,1,14,1,11.868860572576523,12.081324942409992,22.50898629426956,657.2553074974259
resnet_manual_script,sequential,1,15,1,11.68058067560196,11.842632032930851,20.579511299729347,670.5025468932735
resnet_manual_script,sequential,1,16,1,10.823668912053108,11.00288886576891,16.87578484416008,721.6754651320471
resnet_manual_script,sequential,1,17,1,11.023599654436111,11.192511972039938,17.2569639980793,709.448867228039
resnet_manual_script,sequential,1,18,1,10.903401300311089,11.073567010462284,21.202757954597473,717.0692995759919
resnet_manual_script,sequential,1,1,8,595.2028445899487,597.1663870103657,600.548816844821,106.37580673290196
resnet_manual_script,sequential,1,2,8,299.84796047210693,302.31783114373684,327.529426664114,210.12341856143286
resnet_manual_script,sequential,1,3,8,200.40246099233627,201.82396031916142,219.50681507587433,314.7498249045554
resnet_manual_script,sequential,1,4,8,151.26219764351845,152.8064983151853,174.6317856013775,415.71567225480504
resnet_manual_script,sequential,1,5,8,126.12012960016727,127.32752406969666,144.85680498182774,498.9027834800914
resnet_manual_script,sequential,1,6,8,107.6941154897213,108.7317099608481,126.30274146795273,584.2275100324792
resnet_manual_script,sequential,1,7,8,94.97236460447311,95.7502556964755,110.5488296598196,663.4348463085961
resnet_manual_script,sequential,1,8,8,79.67562787234783,80.6313688121736,95.83049826323986,787.8330370401604
resnet_manual_script,sequential,1,9,8,73.37579503655434,74.00776842609048,81.75639063119888,858.3430837458601
resnet_manual_script,sequential,1,10,8,66.52812473475933,67.13849570602179,78.64704914391041,946.16442480558
resnet_manual_script,sequential,1,11,8,61.95669807493687,62.44717141613364,74.97724331915379,1017.2447323304725
resnet_manual_script,sequential,1,12,8,57.58968181908131,58.12223060056567,71.3451411575079,1092.9390616226929
resnet_manual_script,sequential,1,13,8,57.875946164131165,58.59438143670559,67.64810904860497,1084.1322088299457
resnet_manual_script,sequential,1,14,8,58.12770128250122,59.61224464699626,66.75688363611698,1065.620939928838
resnet_manual_script,sequential,1,15,8,51.781190559268,52.30512196198106,59.79964882135391,1214.4901644273696
resnet_manual_script,sequential,1,16,8,48.41409623622894,48.95220082253218,63.793741166591644,1297.6751832322227
resnet_manual_script,sequential,1,17,8,46.75162397325039,48.50690335035324,56.91162124276161,1309.5879510836144
resnet_manual_script,sequential,1,18,8,44.766293838620186,45.43103959411383,56.05258047580719,1398.252312505531
resnet_manual_script,sequential,1,1,16,1407.8513830900192,1409.8984040692449,1413.8075672090054,90.11175238181221
resnet_manual_script,sequential,1,2,16,682.5919672846794,685.9673765860498,710.843650624156,185.21058028050794
resnet_manual_script,sequential,1,3,16,460.7947822660208,463.3979430049658,483.55243168771267,274.1669828034574
resnet_manual_script,sequential,1,4,16,372.1494749188423,374.9738096818328,390.5349224805832,338.81943909309626
resnet_manual_script,sequential,1,5,16,291.28748551011086,292.9389319755137,310.5465266853571,433.7027346082486
resnet_manual_script,sequential,1,6,16,266.2499789148569,267.6297892443836,281.8197589367628,474.71701946821383
resnet_manual_script,sequential,1,7,16,232.71731287240982,237.39029545336962,252.42607481777668,535.1879091281388
