benchmark,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max)
inception_manual_none,1,11,16,172.22419381141663,180.12000353541225,232.42746386677027
inception_manual_none,1,12,16,160.8406058512628,170.76119008474052,220.9620368666947
inception_manual_none,1,13,16,159.2313190922141,171.01426559500396,221.2985628284514
inception_manual_none,1,14,16,151.3459379784763,156.2374238157645,214.26056791096926
inception_manual_none,1,15,16,145.65905136987567,151.91343125421554,196.55188685283065
inception_manual_none,1,16,16,138.19988910108805,148.01855064928532,186.4284952171147
inception_manual_none,1,17,16,134.51327197253704,138.86663489975035,181.04942608624697
inception_manual_none,1,18,16,130.21922204643488,140.34117257688195,177.31617484241724
inception_manual_none,1,1,32,3137.94221309945,3262.002868480049,4162.9951861687005
inception_manual_none,1,2,32,1550.2314888872206,1652.7888680249453,2159.634286072105
inception_manual_none,1,3,32,1049.3950829841197,1121.545045003295,1456.8495359271765
inception_manual_none,1,4,32,795.4806052148342,892.8328316519037,1138.6925298720598
inception_manual_none,1,5,32,647.8012120351195,680.3999002790079,937.6645730808377
inception_manual_none,1,6,32,547.9527972638607,601.7588008521125,799.9425581656396
inception_manual_none,1,7,32,478.6692359484732,506.2134284293279,697.3736002109945
inception_manual_none,1,8,32,422.6343841291964,469.6161407371983,620.1581340283155
inception_manual_none,1,9,32,385.14085207134485,421.13991442136467,558.1213012337685
inception_manual_none,1,10,32,353.5551489330828,386.41657238826156,513.2336979731917
inception_manual_none,1,11,32,327.61200284585357,363.990113446489,476.39702912420034
inception_manual_none,1,12,32,306.81224167346954,318.3861506311223,451.87744218856096
inception_manual_none,1,13,32,300.01331912353635,322.89012097287923,436.7335238493979
inception_manual_none,1,14,32,284.03654135763645,324.2818625131622,417.6726038567722
inception_manual_none,1,15,32,270.95220191404223,303.664463236928,407.8717418015003
inception_manual_none,1,16,32,258.0879800952971,280.6059491960332,377.12957710027695
inception_manual_none,1,17,32,248.23621893301606,265.9273619996384,370.37402065470815
inception_manual_none,1,18,32,238.4472033008933,270.46986245550215,367.7955912426114
inception_manual_script,1,1,1,82.64007000252604,83.10755735263228,85.73578391224146
inception_manual_script,1,2,1,45.804810244590044,46.84139779303223,68.48005298525095
inception_manual_script,1,3,1,33.327584620565176,33.981306408531964,51.783802919089794
inception_manual_script,1,4,1,26.87970455735922,27.278432482853532,39.852571208029985
