benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,1,8,2,23.151403293013573,23.414380489848554,34.11505790427327,678.2611567658316
resnet_manual_script,sequential,1,9,2,21.750943269580603,21.980864140205085,37.82713506370783,722.4950163334128
resnet_manual_script,sequential,1,10,2,20.52577491849661,20.776222492568195,32.511571887880564,764.3865385866354
resnet_manual_script,sequential,1,11,2,19.352159928530455,19.642247133888304,35.49581719562411,808.5156798888236
resnet_manual_script,sequential,1,12,2,17.60472124442458,17.97142105642706,35.77337181195617,883.6844201766953
resnet_manual_script,sequential,1,13,2,18.003654200583696,18.327696160413325,32.07934135571122,866.5063332019931
resnet_manual_script,sequential,1,14,2,17.212558072060347,17.54827911965549,37.502773106098175,904.9927168192762
resnet_manual_script,sequential,1,15,2,16.749222297221422,17.111604465171695,31.796123832464218,928.087417420366
resnet_manual_script,sequential,1,16,2,15.783295035362244,16.14251569379121,24.084592703729868,983.803584103575
resnet_manual_script,sequential,1,17,2,17.14170491322875,17.45056440588087,36.93867428228259,910.0602379741973
resnet_manual_script,sequential,1,18,2,16.691645607352257,16.95761876180768,24.927256163209677,936.5150272022674
resnet_manual_script,sequential,1,1,4,300.1810349524021,301.37524417135864,303.2525288872421,105.39063661758628
resnet_manual_script,sequential,1,2,4,151.32125606760383,152.4636683659628,180.2388820797205,208.32588632040833
resnet_manual_script,sequential,1,3,4,102.56606433540583,103.82060497999191,127.90323980152607,305.93280447673305
resnet_manual_script,sequential,1,4,4,77.14167004451156,78.65602717734873,102.82742511481047,403.81048959394707
resnet_manual_script,sequential,1,5,4,64.0959138981998,65.17317649442703,83.76220893114805,487.3497127566889
resnet_manual_script,sequential,1,6,4,54.30927686393261,55.03827410750091,72.27510819211602,577.091657742794
resnet_manual_script,sequential,1,7,4,47.65804810449481,48.134133662097156,60.369094368070364,659.8670512483086
resnet_manual_script,sequential,1,8,4,41.36639693751931,41.86152275186032,56.79169995710254,758.742796631508
resnet_manual_script,sequential,1,9,4,38.07040397077799,38.578758612275124,53.95007971674204,823.3061401279464
resnet_manual_script,sequential,1,10,4,35.0849898532033,35.61036394909024,50.55756075307727,891.9349684099885
resnet_manual_script,sequential,1,11,4,32.57967997342348,33.07743658777326,47.58927086368203,960.2354994987896
resnet_manual_script,sequential,1,12,4,30.15528991818428,30.742091601714492,51.27658508718014,1033.1804763156915
resnet_manual_script,sequential,1,13,4,30.599239747971296,30.966729316860437,46.86301667243242,1025.6856162948566
resnet_manual_script,sequential,1,14,4,29.17783474549651,29.54195362981409,46.525910031050444,1075.1532969690022
resnet_manual_script,sequential,1,15,4,27.93663088232279,28.37989456485957,49.226364120841026,1119.1771263071698
resnet_manual_script,sequential,1,16,4,25.93145612627268,26.34688435588032,39.77074287831783,1205.5364275704599
resnet_manual_script,sequential,1,17,4,26.33160399273038,26.88333125784993,48.278415109962225,1181.4803953927942
resnet_manual_script,sequential,1,18,4,24.535239674150944,24.96279546059668,36.71672474592924,1272.3786842758032
resnet_manual_script,sequential,1,1,8,599.79411913082,601.7349427053705,603.5378682427108,105.56850272712781
resnet_manual_script,sequential,1,2,8,301.2865111231804,315.7658995874226,353.7308517843485,201.1751649655657
resnet_manual_script,sequential,1,3,8,201.78287290036678,203.69368940591812,232.50562604516745,311.86168371377323
resnet_manual_script,sequential,1,4,8,151.7915721051395,153.1027400912717,180.38560403510928,414.9126064114216
resnet_manual_script,sequential,1,5,8,126.00976787507534,128.43976555857807,151.9919168204069,494.584030605601
resnet_manual_script,sequential,1,6,8,108.09223912656307,109.75000147242099,130.09634893387556,578.8087115056939
resnet_manual_script,sequential,1,7,8,95.19415907561779,97.2437852807343,115.51862116903067,653.2474723871662
resnet_manual_script,sequential,1,8,8,79.91137681528926,80.87971192318946,104.03330391272902,785.4164589548521
