benchmark,topology,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,1,1,1024,9.49499189777195
resnet_manual_script,sequential,1,2,1024,18.45092350399095
resnet_manual_script,sequential,1,3,1024,27.13384739810448
resnet_manual_script,sequential,1,4,1024,35.518415110066606
resnet_manual_script,sequential,1,5,1024,42.55157945165858
resnet_manual_script,sequential,1,6,1024,49.21277421394632
resnet_manual_script,sequential,1,7,1024,55.159445798565066
resnet_manual_script,sequential,1,8,1024,63.999215761291445
resnet_manual_script,sequential,1,9,1024,69.45219605042655
resnet_manual_script,sequential,1,10,1024,74.49753031102928
resnet_manual_script,sequential,1,11,1024,79.38383846817361
resnet_manual_script,sequential,1,12,1024,85.98382183787803
resnet_manual_script,sequential,1,13,1024,86.07078673393582
resnet_manual_script,sequential,1,14,1024,90.09221348915281
resnet_manual_script,sequential,1,15,1024,93.7291306595875
resnet_manual_script,sequential,1,16,1024,98.71547204974127
resnet_manual_script,sequential,1,17,1024,102.15507898522443
resnet_manual_script,sequential,1,18,1024,105.31731875849164
resnet_manual_script,interleave,1,1,1,12.475193233558889
resnet_manual_script,interleave,1,2,1,20.743527957149436
resnet_manual_script,interleave,1,3,1,30.110863446045304
resnet_manual_script,interleave,1,4,1,38.273577699531586
resnet_manual_script,interleave,1,5,1,46.45386259343546
resnet_manual_script,interleave,1,6,1,51.7520836515704
resnet_manual_script,interleave,1,7,1,57.54197006131388
resnet_manual_script,interleave,1,8,1,62.238636687208604
resnet_manual_script,interleave,1,9,1,61.53540961459175
resnet_manual_script,interleave,1,10,1,64.5381184391441
resnet_manual_script,interleave,1,11,1,70.3813802408571
resnet_manual_script,interleave,1,12,1,71.42938931971962
resnet_manual_script,interleave,1,13,1,75.68900525708078
resnet_manual_script,interleave,1,14,1,77.74849246226808
resnet_manual_script,interleave,1,15,1,79.2727171201044
resnet_manual_script,interleave,1,16,1,82.58911130681318
resnet_manual_script,interleave,1,17,1,82.59401996473237
resnet_manual_script,interleave,1,18,1,81.75892381072981
resnet_manual_script,interleave,1,1,2,13.00870872240839
resnet_manual_script,interleave,1,2,2,24.38973080989735
resnet_manual_script,interleave,1,3,2,33.72777038194039
