benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_remote_script,sequential,1,2,16,745.9745518863201,747.0158071164042,748.1839125975966,170.07473191554914
resnet_remote_script,sequential,1,3,16,490.64496625214815,491.3972362317145,492.2442054376006,258.5454368980034
resnet_remote_script,sequential,1,4,16,375.03476720303297,375.57973124086857,376.57457031309605,338.27308175616287
resnet_remote_script,sequential,1,5,16,320.13631146401167,321.0828688647598,321.8900319188833,395.68761043278477
resnet_remote_script,sequential,1,6,16,277.413927949965,278.5716407839209,279.6412315219641,456.071238172257
resnet_remote_script,sequential,1,7,16,266.40796661376953,267.4024641979486,268.37937254458666,475.12095115903827
resnet_remote_script,sequential,1,8,16,213.4638587012887,214.0457343775779,214.62239045649767,593.5577903546804
resnet_remote_script,sequential,1,9,16,190.255225636065,195.52853288128972,198.3233243227005,649.7696845561376
resnet_remote_script,sequential,1,10,16,191.34336803108454,192.08294780924916,193.706588819623,661.4252570622116
resnet_remote_script,sequential,1,11,16,172.9695489630103,173.28610418364406,173.79778996109962,733.171962809882
resnet_remote_script,sequential,1,12,16,150.3553530201316,156.67596391402185,157.87263587117195,810.8998340148695
resnet_remote_script,sequential,1,13,16,174.62322302162647,174.91749150678515,175.56086834520102,726.3339534403951
resnet_remote_script,sequential,1,14,16,142.67227984964848,148.49945339374244,149.25042632967234,855.548692123022
resnet_remote_script,sequential,1,15,16,158.85336231440306,159.169457629323,159.84227694571018,798.1965574568527
resnet_remote_script,sequential,1,16,16,139.79485910385847,140.30272808857262,140.79715870320797,905.531309781765
resnet_remote_script,sequential,1,17,16,143.86416506022215,144.50599186122417,145.26954106986523,879.192007858128
resnet_remote_script,sequential,1,18,16,144.5168424397707,145.00228377059102,145.96278686076403,876.1828422854651
resnet_remote_script,sequential,1,1,32,3218.012798577547,3247.508571334183,3416.2532975897193,78.24368125119639
resnet_remote_script,sequential,1,2,32,1650.4883840680122,1702.8482480626553,1761.3729545846581,149.21883133455273
resnet_remote_script,sequential,1,3,32,1124.3265736848116,1125.581533126533,1126.7857644706964,225.7473297471339
resnet_remote_script,sequential,1,4,32,853.4086495637894,866.7466294858605,881.6082701086998,293.1618270805692
resnet_remote_script,sequential,1,5,32,734.6390197053552,771.4860046375543,777.1931411698461,329.3605120359575
resnet_remote_script,sequential,1,6,32,661.6586064919829,672.079202067107,673.1816232204437,378.07601356280094
resnet_remote_script,sequential,1,7,32,557.9840857535601,558.6967883910984,559.445577673614,454.8030896109738
resnet_remote_script,sequential,1,8,32,494.94302924722433,504.2076510284096,526.8126986920834,503.95313319369467
