benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,15,11,1,40.842449355583625
resnet_manual_none,15,12,1,42.46890435256963
resnet_manual_none,15,13,1,41.04865574182358
resnet_manual_none,15,14,1,42.60424377148048
resnet_manual_none,15,15,1,42.84179131020922
resnet_manual_none,15,16,1,44.57333150106868
resnet_manual_none,15,17,1,39.512237513220185
resnet_manual_none,15,18,1,26.208023257142024
resnet_manual_none,15,19,1,9.30601240019279
resnet_manual_none,16,1,1,7.62552658590652
resnet_manual_none,16,2,1,14.457078601046614
resnet_manual_none,16,3,1,19.964063128893333
resnet_manual_none,16,4,1,25.29712338628313
resnet_manual_none,16,5,1,28.829784251205087
resnet_manual_none,16,6,1,32.58509025645739
resnet_manual_none,16,7,1,35.407152976975226
resnet_manual_none,16,8,1,38.220935527505446
resnet_manual_none,16,9,1,37.892870020383576
resnet_manual_none,16,10,1,39.8145077849078
resnet_manual_none,16,11,1,41.78308786409371
resnet_manual_none,16,12,1,42.31216844858386
resnet_manual_none,16,13,1,41.04189062632057
resnet_manual_none,16,14,1,30.454326788203446
resnet_manual_none,16,15,1,42.77989194083159
resnet_manual_none,16,16,1,44.36013180785532
resnet_manual_none,16,17,1,39.68731487987649
resnet_manual_none,16,18,1,25.07671501088584
resnet_manual_none,16,19,1,9.272625574097766
resnet_manual_none,17,1,1,7.8266105827111225
resnet_manual_none,17,2,1,14.445257515305094
resnet_manual_none,17,3,1,20.09148218568885
resnet_manual_none,17,4,1,25.029333917975784
resnet_manual_none,17,5,1,28.875578660707838
resnet_manual_none,17,6,1,32.40039947704943
resnet_manual_none,17,7,1,35.300842477088956
resnet_manual_none,17,8,1,38.27178585745842
resnet_manual_none,17,9,1,37.64287111149865
resnet_manual_none,17,10,1,39.5271062589705
resnet_manual_none,17,11,1,41.34103373994452
resnet_manual_none,17,12,1,42.69992875840925
resnet_manual_none,17,13,1,41.108033664346955
resnet_manual_none,17,14,1,42.04301006229698
resnet_manual_none,17,15,1,42.96302752303072
resnet_manual_none,17,16,1,44.6672879928537
resnet_manual_none,17,17,1,39.64817082233581
resnet_manual_none,17,18,1,24.297554096271096
resnet_manual_none,17,19,1,9.321908553759068
resnet_manual_none,18,1,1,7.871634762629944
resnet_manual_none,18,2,1,14.459122592761895
resnet_manual_none,18,3,1,19.845375685415135
resnet_manual_none,18,4,1,25.102963853055748
resnet_manual_none,18,5,1,28.7249940288927
resnet_manual_none,18,6,1,32.701430752867836
resnet_manual_none,18,7,1,35.20708638993776
resnet_manual_none,18,8,1,37.88552104811516
resnet_manual_none,18,9,1,37.65010828410068
resnet_manual_none,18,10,1,39.596358295216504
resnet_manual_none,18,11,1,41.503924454525325
resnet_manual_none,18,12,1,42.65233205418158
resnet_manual_none,18,13,1,41.359081085193914
resnet_manual_none,18,14,1,42.786370463733384
resnet_manual_none,18,15,1,42.919499204387044
resnet_manual_none,18,16,1,44.17734826818109
resnet_manual_none,18,17,1,39.8259487560528
resnet_manual_none,18,18,1,25.101811344830104
resnet_manual_none,18,19,1,9.26909813691059
resnet_manual_none,19,1,1,7.148928979917423
resnet_manual_none,19,2,1,14.424669190109364
resnet_manual_none,19,3,1,19.92683619731246
resnet_manual_none,19,4,1,24.91304085454222
resnet_manual_none,19,5,1,28.444947812546314
resnet_manual_none,19,6,1,32.75829377593689
resnet_manual_none,19,7,1,35.27619867139157
resnet_manual_none,19,8,1,38.37866211717699
resnet_manual_none,19,9,1,37.1021744233432
resnet_manual_none,19,10,1,39.79586868477031
resnet_manual_none,19,11,1,41.59853849016906
resnet_manual_none,19,12,1,42.18509827931042
resnet_manual_none,19,13,1,41.497088262554385
resnet_manual_none,19,14,1,42.50543208243417
resnet_manual_none,19,15,1,42.510936404956
resnet_manual_none,19,16,1,44.98594855135309
resnet_manual_none,19,17,1,38.85136497843417
resnet_manual_none,19,18,1,25.382118023121144
resnet_manual_none,19,19,1,9.292173694976018
resnet_manual_none,1,1,8,9.222321081133156
resnet_manual_none,1,2,8,16.776011372290895
resnet_manual_none,1,3,8,25.472893352433694
resnet_manual_none,1,4,8,30.379084652486466
resnet_manual_none,1,5,8,38.478174137163435
resnet_manual_none,1,6,8,44.717234697068534
resnet_manual_none,1,7,8,49.21680864284466
resnet_manual_none,1,8,8,56.07081988072672
resnet_manual_none,1,9,8,65.09782106691607
resnet_manual_none,1,10,8,67.82497084114792
resnet_manual_none,1,11,8,68.16318889995162
resnet_manual_none,1,12,8,72.88261908072325
resnet_manual_none,1,13,8,75.58856578715958
resnet_manual_none,1,14,8,71.92848247405017
resnet_manual_none,1,15,8,76.49223001362991
resnet_manual_none,1,16,8,82.66700009508226
resnet_manual_none,1,17,8,86.35891953736005
resnet_manual_none,1,18,8,86.76493531086007
resnet_manual_none,1,19,8,24.594283133287263
resnet_manual_none,2,1,8,9.065506207216877
resnet_manual_none,2,2,8,16.207879090489826
resnet_manual_none,2,3,8,22.550406515644973
resnet_manual_none,2,4,8,31.031672624376952
resnet_manual_none,2,5,8,36.7406065491659
resnet_manual_none,2,6,8,45.68341829012384
resnet_manual_none,2,7,8,49.51284971444793
resnet_manual_none,2,8,8,53.83291632041759
resnet_manual_none,2,9,8,57.27700069415886
resnet_manual_none,2,10,8,63.68153536490898
resnet_manual_none,2,11,8,66.64769245562127
resnet_manual_none,2,12,8,67.97690528054973
resnet_manual_none,2,13,8,70.8119240671299
resnet_manual_none,2,14,8,72.86511161732004
resnet_manual_none,2,15,8,57.618864635373015
resnet_manual_none,2,16,8,77.4024625157231
resnet_manual_none,2,17,8,75.89004580813726
resnet_manual_none,2,18,8,92.93291851635755
resnet_manual_none,2,19,8,26.48345128314064
resnet_manual_none,3,1,8,8.930509779939182
resnet_manual_none,3,2,8,16.93502828593191
resnet_manual_none,3,3,8,23.65809515731287
resnet_manual_none,3,4,8,33.231462712165744
resnet_manual_none,3,5,8,41.52821686013708
resnet_manual_none,3,6,8,42.91766494027342
resnet_manual_none,3,7,8,48.03219851011911
resnet_manual_none,3,8,8,53.75956902272308
resnet_manual_none,3,9,8,58.33799412646345
resnet_manual_none,3,10,8,65.33618703488074
resnet_manual_none,3,11,8,71.39998890242884
resnet_manual_none,3,12,8,69.82992979858996
resnet_manual_none,3,13,8,69.00517845681325
resnet_manual_none,3,14,8,74.30422980615295
resnet_manual_none,3,15,8,76.86644443749914
resnet_manual_none,3,16,8,81.75014953904275
resnet_manual_none,3,17,8,86.87891970546546
resnet_manual_none,3,18,8,82.25326226741153
resnet_manual_none,3,19,8,25.909601118248517
resnet_manual_none,4,1,8,9.164875698309183
resnet_manual_none,4,2,8,16.197812235340276
resnet_manual_none,4,3,8,24.58023195527189
resnet_manual_none,4,4,8,30.24948345831931
resnet_manual_none,4,5,8,33.681695133322954
resnet_manual_none,4,6,8,43.34010605048269
resnet_manual_none,4,7,8,46.65873476819746
resnet_manual_none,4,8,8,50.521318993442854
resnet_manual_none,4,9,8,60.00385206428026
resnet_manual_none,4,10,8,57.744639706236576
resnet_manual_none,4,11,8,72.26402837109477
resnet_manual_none,4,12,8,77.39894968452494
resnet_manual_none,4,13,8,71.05896673064574
resnet_manual_none,4,14,8,71.73001774597304
resnet_manual_none,4,15,8,79.14749866425463
resnet_manual_none,4,16,8,90.58209053017572
resnet_manual_none,4,17,8,85.52595363056719
resnet_manual_none,4,18,8,88.77049616947005
resnet_manual_none,4,19,8,24.254352335212232
resnet_manual_none,5,1,8,9.155428438246432
resnet_manual_none,5,2,8,16.26573280782352
resnet_manual_none,5,3,8,22.71684303742634
resnet_manual_none,5,4,8,34.50486869410431
resnet_manual_none,5,5,8,39.81439185613434
resnet_manual_none,5,6,8,43.833479429132176
resnet_manual_none,5,7,8,50.19199928368705
resnet_manual_none,5,8,8,58.886241957236656
resnet_manual_none,5,9,8,59.14762660171845
resnet_manual_none,5,10,8,59.19590165621891
resnet_manual_none,5,11,8,60.49972044508226
resnet_manual_none,5,12,8,70.72823328569213
resnet_manual_none,5,13,8,64.44038328771073
resnet_manual_none,5,14,8,77.8313284331108
resnet_manual_none,5,15,8,71.01699688078439
resnet_manual_none,5,16,8,89.83216034324691
resnet_manual_none,5,17,8,77.56106395444945
resnet_manual_none,5,18,8,80.29008934454325
resnet_manual_none,5,19,8,25.2886332639309
resnet_manual_none,6,1,8,9.084234450089728
resnet_manual_none,6,2,8,16.442455239798033
resnet_manual_none,6,3,8,26.516206459308158
resnet_manual_none,6,4,8,28.37209569548944
resnet_manual_none,6,5,8,34.59017563310956
resnet_manual_none,6,6,8,41.13790751178074
resnet_manual_none,6,7,8,48.36756783527541
resnet_manual_none,6,8,8,54.34439163089493
resnet_manual_none,6,9,8,59.17104997436604
resnet_manual_none,6,10,8,59.52208300053211
resnet_manual_none,6,11,8,63.63243633693869
resnet_manual_none,6,12,8,73.37991400324947
resnet_manual_none,6,13,8,74.48670562876492
resnet_manual_none,6,14,8,84.59938258585308
resnet_manual_none,6,15,8,75.54881080686415
resnet_manual_none,6,16,8,80.07540861376266
resnet_manual_none,6,17,8,85.77733079995407
resnet_manual_none,6,18,8,80.175100789085
resnet_manual_none,6,19,8,26.681992425517844
resnet_manual_none,7,1,8,9.172268930439518
resnet_manual_none,7,2,8,17.756963675639394
resnet_manual_none,7,3,8,25.005514599967437
resnet_manual_none,7,4,8,30.94348203239871
resnet_manual_none,7,5,8,36.87603895211509
resnet_manual_none,7,6,8,44.676022629345795
resnet_manual_none,7,7,8,51.03195599097466
resnet_manual_none,7,8,8,56.330365714415485
resnet_manual_none,7,9,8,59.85114875896903
resnet_manual_none,7,10,8,63.96494414381612
resnet_manual_none,7,11,8,62.35482611470396
resnet_manual_none,7,12,8,79.69630994418368
resnet_manual_none,7,13,8,71.14338497784645
resnet_manual_none,7,14,8,66.46232509449152
resnet_manual_none,7,15,8,77.5027931265764
resnet_manual_none,7,16,8,80.30338658821078
resnet_manual_none,7,17,8,87.39693764829977
resnet_manual_none,7,18,8,84.78602508436217
resnet_manual_none,7,19,8,27.220016039125866
resnet_manual_none,8,1,8,9.054838129005482
resnet_manual_none,8,2,8,16.677070567534646
resnet_manual_none,8,3,8,26.875171359555193
resnet_manual_none,8,4,8,32.04245443694403
resnet_manual_none,8,5,8,35.44853861474402
resnet_manual_none,8,6,8,44.045302092559425
resnet_manual_none,8,7,8,46.23753973829555
resnet_manual_none,8,8,8,58.4447093796746
resnet_manual_none,8,9,8,60.42692214999966
resnet_manual_none,8,10,8,62.270658279061294
resnet_manual_none,8,11,8,69.39597193192216
resnet_manual_none,8,12,8,68.4414238383742
resnet_manual_none,8,13,8,70.97807863395906
resnet_manual_none,8,14,8,72.34424931773519
resnet_manual_none,8,15,8,83.96047902646791
resnet_manual_none,8,16,8,83.7814849462475
resnet_manual_none,8,17,8,85.7564593328655
resnet_manual_none,8,18,8,87.1593592218161
resnet_manual_none,8,19,8,27.00144397112775
resnet_manual_none,9,1,8,9.241924268254731
resnet_manual_none,9,2,8,17.865853413429633
resnet_manual_none,9,3,8,22.875375265511106
resnet_manual_none,9,4,8,31.006969283784475
resnet_manual_none,9,5,8,37.64089188544444
resnet_manual_none,9,6,8,43.4636747085134
