benchmark,topology,instance_id,interop_threads,intraop_threads,batch_size,throughput
inception_manual_script,sequential,1,1,6,512,49.33696944793025
inception_manual_script,sequential,1,1,7,512,55.64607094901447
inception_manual_script,sequential,1,1,8,512,62.244782199813606
inception_manual_script,sequential,1,1,9,512,68.20367015217452
inception_manual_script,sequential,1,1,10,512,73.40011422574888
inception_manual_script,sequential,1,1,11,512,78.04211999873529
inception_manual_script,sequential,1,1,12,512,82.7705413724615
inception_manual_script,sequential,1,1,13,512,84.65276666810462
inception_manual_script,sequential,1,1,14,512,88.62310207034893
inception_manual_script,sequential,1,1,15,512,91.9551336273457
inception_manual_script,sequential,1,1,16,512,97.19634347552984
inception_manual_script,sequential,1,1,17,512,97.93012295960142
inception_manual_script,sequential,1,1,18,512,101.57275223204896
inception_manual_script,sequential,1,1,1,1024,9.682001141419459
inception_manual_script,sequential,1,1,2,1024,18.818704262988085
inception_manual_script,sequential,1,1,3,1024,27.28581871534205
inception_manual_script,sequential,1,1,4,1024,35.225920764243774
inception_manual_script,sequential,1,1,5,1024,42.21214918956234
inception_manual_script,sequential,1,1,6,1024,48.885780298933845
inception_manual_script,sequential,1,1,7,1024,55.19469651702369
inception_manual_script,sequential,1,1,8,1024,62.09200483465937
inception_manual_script,sequential,1,1,9,1024,67.61331910196883
inception_manual_script,sequential,1,1,10,1024,72.57301919613711
inception_manual_script,sequential,1,1,11,1024,77.3205964940411
inception_manual_script,sequential,1,1,12,1024,81.79180531426692
inception_manual_script,sequential,1,1,13,1024,83.56178717292126
inception_manual_script,sequential,1,1,14,1024,87.53808599420167
inception_manual_script,sequential,1,1,15,1024,90.58337812212322
inception_manual_script,sequential,1,1,16,1024,92.92245430368804
inception_manual_script,sequential,1,1,17,1024,96.80298719861645
inception_manual_script,sequential,1,1,18,1024,99.52242954258624
