benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,1,34,16,194.22911040509044
resnet_manual_script,1,35,16,176.43577388512793
resnet_manual_script,1,36,16,176.1298378572341
resnet_manual_script,1,1,32,10.863876320373706
resnet_manual_script,1,2,32,20.275704112806583
resnet_manual_script,1,3,32,30.610910249764302
resnet_manual_script,1,4,32,41.19953317599555
resnet_manual_script,1,5,32,49.34642804306606
resnet_manual_script,1,6,32,57.721745861345866
resnet_manual_script,1,7,32,64.30091385919465
resnet_manual_script,1,8,32,71.44559229304772
resnet_manual_script,1,9,32,82.61644532349605
resnet_manual_script,1,10,32,84.13921066146735
resnet_manual_script,1,11,32,90.7912505972417
resnet_manual_script,1,12,32,96.11697255141917
resnet_manual_script,1,13,32,102.69766162424197
resnet_manual_script,1,14,32,104.60286185526995
resnet_manual_script,1,15,32,111.65524427790848
resnet_manual_script,1,16,32,119.09884356919115
resnet_manual_script,1,17,32,116.70264017901755
resnet_manual_script,1,18,32,118.75139413807197
resnet_manual_script,1,19,32,120.64022348925221
resnet_manual_script,1,20,32,127.0284379085837
resnet_manual_script,1,21,32,122.60201705093709
resnet_manual_script,1,22,32,127.37398898532746
resnet_manual_script,1,23,32,127.76897961235171
resnet_manual_script,1,24,32,129.44505899599827
resnet_manual_script,1,25,32,140.03170550208887
resnet_manual_script,1,26,32,158.38085543641992
resnet_manual_script,1,27,32,143.3195561502969
resnet_manual_script,1,28,32,139.02183023415526
resnet_manual_script,1,29,32,136.48466051621506
resnet_manual_script,1,30,32,137.25428781436776
resnet_manual_script,1,31,32,154.5466774298851
resnet_manual_script,1,32,32,139.91493048447205
resnet_manual_script,1,33,32,162.31580318319357
resnet_manual_script,1,34,32,166.89110551361836
resnet_manual_script,1,35,32,168.92070283584673
resnet_manual_script,1,36,32,179.48266014088932
