model,cores,batch_size,instances,allocator,throughput,mean_ts_latency,mean_predict_latency
mobilenet,12,2,1,tcmalloc,83.68,23.901,18.96
mobilenet,13,2,1,tcmalloc,82.92,24.118,19.18
mobilenet,14,2,1,tcmalloc,126.84,15.768,10.88
mobilenet,15,2,1,tcmalloc,117.22,17.062,12.25
mobilenet,16,2,1,tcmalloc,86.17,23.209,18.13
mobilenet,1,4,1,tcmalloc,62.92,63.577,58.15
mobilenet,2,4,1,tcmalloc,100.83,39.672,34.41
mobilenet,3,4,1,tcmalloc,102.11,39.173,34.18
mobilenet,4,4,1,tcmalloc,157.09,25.463,20.57
mobilenet,5,4,1,tcmalloc,118.58,33.733,28.59
mobilenet,6,4,1,tcmalloc,112.36,35.600,30.42
mobilenet,7,4,1,tcmalloc,178.61,22.395,17.26
mobilenet,8,4,1,tcmalloc,155.74,25.684,20.57
mobilenet,9,4,1,tcmalloc,186.87,21.405,16.49
mobilenet,10,4,1,tcmalloc,161.66,24.743,19.71
mobilenet,11,4,1,tcmalloc,188.74,21.193,16.06
mobilenet,12,4,1,tcmalloc,173.94,22.997,17.86
mobilenet,13,4,1,tcmalloc,182.35,21.935,16.83
mobilenet,14,4,1,tcmalloc,198.90,20.110,15.11
mobilenet,15,4,1,tcmalloc,158.30,25.269,20.16
mobilenet,16,4,1,tcmalloc,159.42,25.091,19.87
mobilenet,1,8,1,tcmalloc,64.60,123.844,117.35
mobilenet,2,8,1,tcmalloc,111.05,72.038,65.97
mobilenet,3,8,1,tcmalloc,127.82,62.586,56.49
mobilenet,4,8,1,tcmalloc,182.73,43.780,38.01
mobilenet,5,8,1,tcmalloc,162.45,49.244,43.44
mobilenet,6,8,1,tcmalloc,154.62,51.740,45.93
mobilenet,7,8,1,tcmalloc,227.12,35.223,29.66
mobilenet,8,8,1,tcmalloc,214.69,37.263,31.49
mobilenet,9,8,1,tcmalloc,239.68,33.378,27.66
mobilenet,10,8,1,tcmalloc,221.45,36.125,30.37
mobilenet,11,8,1,tcmalloc,249.58,32.053,26.4
mobilenet,12,8,1,tcmalloc,270.45,29.580,24.0
mobilenet,13,8,1,tcmalloc,265.92,30.085,24.44
mobilenet,14,8,1,tcmalloc,265.59,30.122,24.22
mobilenet,15,8,1,tcmalloc,244.51,32.718,27.1
mobilenet,16,8,1,tcmalloc,233.60,34.247,28.56
mobilenet,1,16,1,tcmalloc,62.19,257.286,248.06
mobilenet,2,16,1,tcmalloc,112.26,142.523,134.24
mobilenet,3,16,1,tcmalloc,142.70,112.125,102.42
mobilenet,4,16,1,tcmalloc,192.74,83.012,75.47
mobilenet,5,16,1,tcmalloc,193.29,82.779,75.21
mobilenet,6,16,1,tcmalloc,197.07,81.190,73.66
mobilenet,7,16,1,tcmalloc,253.49,63.120,55.94
mobilenet,8,16,1,tcmalloc,249.90,64.027,56.67
mobilenet,9,16,1,tcmalloc,269.21,59.434,52.1
mobilenet,10,16,1,tcmalloc,260.56,61.406,54.1
mobilenet,11,16,1,tcmalloc,283.74,56.390,49.27
mobilenet,12,16,1,tcmalloc,304.25,52.589,45.23
mobilenet,13,16,1,tcmalloc,299.58,53.409,46.01
mobilenet,14,16,1,tcmalloc,313.42,51.050,43.87
mobilenet,15,16,1,tcmalloc,291.27,54.932,47.54
mobilenet,16,16,1,tcmalloc,295.51,54.144,46.84
mobilenet,1,32,1,tcmalloc,59.42,538.531,524.6
mobilenet,2,32,1,tcmalloc,110.74,288.975,277.51
mobilenet,3,32,1,tcmalloc,148.23,215.885,205.11
