benchmark,topology,pinning,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
inception_manual_script,sequential,numactl,default,1,1,5,128,55.34745200762967
inception_manual_script,sequential,numactl,default,1,1,6,128,64.24687111562368
inception_manual_script,sequential,numactl,default,1,1,7,128,73.5269888455123
inception_manual_script,sequential,numactl,default,1,1,8,128,82.2858948008126
inception_manual_script,sequential,numactl,default,1,1,9,128,85.8495132884227
inception_manual_script,sequential,numactl,default,1,1,10,128,91.67058255366165
inception_manual_script,sequential,numactl,default,1,1,11,128,98.95810820148019
inception_manual_script,sequential,numactl,default,1,1,12,128,105.26387638649301
inception_manual_script,sequential,numactl,default,1,1,13,128,105.48298148933439
inception_manual_script,sequential,numactl,default,1,1,14,128,111.21621046185736
inception_manual_script,sequential,numactl,default,1,1,15,128,115.79517336069945
inception_manual_script,sequential,numactl,default,1,1,16,128,120.34808177934472
inception_manual_script,sequential,numactl,default,1,1,1,256,13.457780752857976
inception_manual_script,sequential,numactl,default,1,1,2,256,26.603882382397376
inception_manual_script,sequential,numactl,default,1,1,3,256,37.13848275369225
inception_manual_script,sequential,numactl,default,1,1,4,256,48.38264276962028
inception_manual_script,sequential,numactl,default,1,1,5,256,53.962518206271355
inception_manual_script,sequential,numactl,default,1,1,6,256,62.41527028560245
inception_manual_script,sequential,numactl,default,1,1,7,256,70.73212203185551
inception_manual_script,sequential,numactl,default,1,1,8,256,78.93362710681015
inception_manual_script,sequential,numactl,default,1,1,9,256,79.59106311640427
inception_manual_script,sequential,numactl,default,1,1,10,256,91.50333135023418
inception_manual_script,sequential,numactl,default,1,1,11,256,98.2745123429348
inception_manual_script,sequential,numactl,default,1,1,12,256,104.80973186008073
inception_manual_script,sequential,numactl,default,1,1,13,256,105.82254432771535
inception_manual_script,sequential,numactl,default,1,1,14,256,111.09400037074802
inception_manual_script,sequential,numactl,default,1,1,15,256,108.91338582816775
inception_manual_script,sequential,numactl,default,1,1,16,256,112.27268557611103
inception_manual_script,sequential,numactl,default,1,1,1,512,13.042916711016218
inception_manual_script,sequential,numactl,default,1,1,2,512,24.548254381562373
inception_manual_script,sequential,numactl,default,1,1,3,512,35.189561393138575
inception_manual_script,sequential,numactl,default,1,1,4,512,45.29586886154062
inception_manual_script,sequential,numactl,default,1,1,5,512,50.10630091662663
inception_manual_script,sequential,numactl,default,1,1,6,512,58.296012094886336
inception_manual_script,sequential,numactl,default,1,1,7,512,66.12713964310366
inception_manual_script,sequential,numactl,default,1,1,8,512,74.48789020565016
inception_manual_script,sequential,numactl,default,1,1,9,512,76.76386996439294
inception_manual_script,sequential,numactl,default,1,1,10,512,85.36064886031274
inception_manual_script,sequential,numactl,default,1,1,11,512,91.0166177595104
inception_manual_script,sequential,numactl,default,1,1,12,512,94.97976909023868
inception_manual_script,sequential,numactl,default,1,1,13,512,95.18327347123261
inception_manual_script,sequential,numactl,default,1,1,14,512,102.7484331523247
inception_manual_script,sequential,numactl,default,1,1,15,512,107.12107309622475
inception_manual_script,sequential,numactl,default,1,1,16,512,111.1691678232467
inception_manual_script,sequential,numactl,default,1,1,1,1024,12.708838852949523
inception_manual_script,sequential,numactl,default,1,1,2,1024,24.282863329945755
inception_manual_script,sequential,numactl,default,1,1,3,1024,34.15267744041456
inception_manual_script,sequential,numactl,default,1,1,4,1024,43.993046163704186
inception_manual_script,sequential,numactl,default,1,1,5,1024,49.76764230330486
inception_manual_script,sequential,numactl,default,1,1,6,1024,57.81183706247817
inception_manual_script,sequential,numactl,default,1,1,7,1024,65.52072196208604
inception_manual_script,sequential,numactl,default,1,1,8,1024,73.72115173534907
inception_manual_script,sequential,numactl,default,1,1,9,1024,76.24923861433291
inception_manual_script,sequential,numactl,default,1,1,10,1024,82.46648215075777
inception_manual_script,sequential,numactl,default,1,1,11,1024,88.14994895597943
inception_manual_script,sequential,numactl,default,1,1,12,1024,94.36010486981117
inception_manual_script,sequential,numactl,default,1,1,13,1024,94.68830263437593
inception_manual_script,sequential,numactl,default,1,1,14,1024,99.73367895020262
inception_manual_script,sequential,numactl,default,1,1,15,1024,103.75238405529944
inception_manual_script,sequential,numactl,default,1,1,16,1024,107.8040621723649
inception_manual_script,interleave,numactl,default,1,1,1,1,16.1660194635178
inception_manual_script,interleave,numactl,default,1,1,2,1,22.674916983655176
inception_manual_script,interleave,numactl,default,1,1,3,1,34.08991049750381
inception_manual_script,interleave,numactl,default,1,1,4,1,40.247354292751126
