benchmark,topology,pinning,ht,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
bert_manual_script,sequential,numactl,false,default,1,1,6,16,98.60853699501604,99.9355720798485,118.99802699917927,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,16,137.58544600568712,140.29878262954298,157.96484798192978,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,16,78.93109798897058,81.6925966902636,97.30727603891864,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,16,130.92272100038826,134.06724829925224,150.84656001999974,0.0
bert_manual_script,sequential,numactl,false,default,1,1,10,16,67.56406102795154,70.07692114217207,85.31579095870256,0.0
bert_manual_script,sequential,numactl,false,default,1,1,11,16,108.49917697487399,111.4974422159139,127.48614902375266,0.0
bert_manual_script,sequential,numactl,false,default,1,1,12,16,61.74420000752434,65.19414927344769,82.60807895567268,0.0
bert_manual_script,sequential,numactl,false,default,1,1,13,16,106.4760489971377,109.27570924977772,125.6821560091339,0.0
bert_manual_script,sequential,numactl,false,default,1,1,14,16,61.38223299058154,63.822272979887195,85.4019409744069,0.0
bert_manual_script,sequential,numactl,false,default,1,1,15,16,104.82819698518142,107.44194518192671,123.31784999696538,0.0
bert_manual_script,sequential,numactl,false,default,1,1,16,16,57.9711040481925,59.481296569574624,75.23233100073412,0.0
bert_manual_script,sequential,numactl,false,default,1,1,1,32,785.3102830122225,808.5004195314832,980.9486329904757,0.0
bert_manual_script,sequential,numactl,false,default,1,1,2,32,409.34774500783533,417.153639747994,508.4845909732394,0.0
bert_manual_script,sequential,numactl,false,default,1,1,3,32,319.21716703800485,324.71320655196905,398.1033700401895,0.0
bert_manual_script,sequential,numactl,false,default,1,1,4,32,230.09819799335673,233.26483480224852,283.3668920211494,0.0
bert_manual_script,sequential,numactl,false,default,1,1,5,32,236.49721703259274,241.7942634690553,281.792187015526,0.0
bert_manual_script,sequential,numactl,false,default,1,1,6,32,174.57965400535613,178.44399392837659,215.28042695717886,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,32,196.3502499856986,200.63294370018411,235.32030096976086,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,32,142.93934201123193,145.4769537318498,176.97085003601387,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,32,174.5627499767579,179.63134696998168,216.38375602196902,0.0
bert_manual_script,sequential,numactl,false,default,1,1,10,32,134.92706400575116,138.51452118135057,167.81859198817983,0.0
bert_manual_script,sequential,numactl,false,default,1,1,11,32,160.69839400006458,164.5455816987669,195.72058896301314,0.0
bert_manual_script,sequential,numactl,false,default,1,1,12,32,119.55852899700403,123.64562274946366,153.27967499615625,0.0
bert_manual_script,sequential,numactl,false,default,1,1,13,32,154.95362697402015,158.75225415162276,189.20367897953838,0.0
bert_manual_script,sequential,numactl,false,default,1,1,14,32,120.16779597615823,123.35247060924303,151.6791309695691,0.0
bert_manual_script,sequential,numactl,false,default,1,1,15,32,149.23184498911723,152.35448641469702,180.26403698604554,0.0
bert_manual_script,sequential,numactl,false,default,1,1,16,32,110.61299598077312,113.79529168072622,141.32740604691207,0.0
bert_manual_script,sequential,numactl,false,default,1,1,1,64,1465.5461619840935,1528.5305380943464,1854.0293169789948,0.0
bert_manual_script,sequential,numactl,false,default,1,1,2,64,750.3797859535553,773.4239251317922,946.6758249909617,0.0
bert_manual_script,sequential,numactl,false,default,1,1,3,64,539.2387629835866,555.3533263684949,664.8007130133919,0.0
bert_manual_script,sequential,numactl,false,default,1,1,4,64,402.7471820008941,413.9324975834461,509.58952301880345,0.0
bert_manual_script,sequential,numactl,false,default,1,1,5,64,356.6141480114311,367.7082335605519,442.8753569955006,0.0
bert_manual_script,sequential,numactl,false,default,1,1,6,64,290.14551400905475,295.10589513229206,355.67175899632275,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,64,287.1267520240508,290.8025979885133,353.0886980006471,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,64,233.6570500046946,242.40005575004034,288.21300400886685,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,64,260.83913003094494,268.36357437307015,322.6529919775203,0.0
bert_manual_script,sequential,numactl,false,default,1,1,10,64,212.73944905260578,217.95217197446618,258.3404469769448,0.0
bert_manual_script,sequential,numactl,false,default,1,1,11,64,240.28100399300456,248.83716712123714,292.19578398624435,0.0
bert_manual_script,sequential,numactl,false,default,1,1,12,64,190.98092697095126,196.56973353005014,233.7033079820685,0.0
bert_manual_script,sequential,numactl,false,default,1,1,13,64,231.80423298617825,238.6222261597868,280.0988960079849,0.0
bert_manual_script,sequential,numactl,false,default,1,1,14,64,184.89595397841185,190.74427697749343,240.09279400343075,0.0
bert_manual_script,sequential,numactl,false,default,1,1,15,64,211.45678602624685,216.44380751880817,255.09457499720156,0.0
bert_manual_script,sequential,numactl,false,default,1,1,16,64,167.364017048385,173.3354790561134,224.66548305237666,0.0
bert_manual_script,sequential,numactl,false,default,1,1,1,128,2803.1521070515737,2906.042218480725,3564.0621180064045,0.0
bert_manual_script,sequential,numactl,false,default,1,1,2,128,1444.3310940405354,1490.8185044815764,1838.2006109459326,0.0
bert_manual_script,sequential,numactl,false,default,1,1,3,128,998.6924629774876,1016.7751539184246,1237.342501990497,0.0
bert_manual_script,sequential,numactl,false,default,1,1,4,128,752.885861962568,778.1103958486347,929.1977089596912,0.0
bert_manual_script,sequential,numactl,false,default,1,1,5,128,651.1772020021453,659.8848402156727,813.7003660085611,0.0
bert_manual_script,sequential,numactl,false,default,1,1,6,128,547.138855967205,562.3548051086254,689.196343999356,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,128,485.2740269852802,498.7156272516586,678.4298119600862,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,128,437.95658799353987,447.6159110601293,553.3441540319473,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,128,424.06994302291423,432.5676600931911,531.141531013418,0.0
